job_id,job_title,company_name,company_link,job_location,publish_date,applicant_count,job_type,job_level,company_size,company_industry,connection_count,connection_type,job_description
3225302096,"Data Analyst (Tableau, Snowflake & Python)",Nigel Frank International,https://www.linkedin.com/company/nigel-frank-international/life/,On-site,1 day ago,,Full-time,Entry level,"1,001-5,000",Staffing and Recruiting,1,school alumni,"About the job Data Analyst for Sweden's leading bank intermediator.  They're a bank intermediator that brings the power back to the consumer by allowing them to compare and analyse their options. In comparison to other companies in this market, they are leading by miles in popularity and growth, which has now allowed them to further focus on building the business internally.  This isn't your typical analyst role, it's a technically hands-on and business orientated position that encourages you to use data to make business-decisions. As a modern company, their data is entirely digital so there is plenty for you to play with and also plenty of room for you to make analysis decisions using your expertise.  You will be working alongside colleagues who are supportive, fun, down-to-earth and equally as passionate about the things they're good at (including sales, development, marketing, finance, video games and more).  Main responsibilities include:  Analyze large datasets with different types of data sources as well as several different types of customer data. Each project solves different needs, but we deliver predictive models, segmentations, profiling, campaign and channel analyzes, follow-ups and tests.  Prioritize and lead their analysis agenda - a lot of responsibility in driving your own data initiatives and pinpointing where the business can improve. Genuine feedback loop where your contributions are listened to and commended.  Be a key player in our collaboration with other teams and stakeholders (eg Product, Sales, Customer Support, Marketing, etc.)  Heavily involved in visualisations (Tableau), running scripts (Python), handling data and presenting findings.  The Analytics team want to cover the blanks and help their consumers understand these missing data points, by predicting the data.  The role involves discovering underlying trends in data, deriving value-add information from these trends, and driving implementations to drive revenue; since they're an entirely digital business, you have thousands of data points at your fingertips.  What can they offer you?  They're highly data-driven already so your work is valued from day one.  Stability of a large global organisation but has a feel of a smaller more autonomous environment, with plenty of opportunity to work with people across the globe and relocate if you want.  Fantastic culture of likeminded people who want to succeed - everybody is very sociable, friendly and passionate about what they do. Lots of knowledge sharing and chances to collaborate with different teams and people in the business.  Plenty of progression opportunities and room to grow into areas you enjoy.  Very collaborative environment as working very hands-on with various teams. Working with customer deliveries also means you can see the impact of your work immediately and often on a long-term basis as well when you will work with a customer on multiple projects.   Does this sound like a good fit to your experience and passions? Then apply to this advert and we can schedule in a chat to go into even further depth of how these guys are making a difference.  I am also available on +46 8-502 425 38 and m.mcdermott@nigelfrank.com, or you can find me on LinkedIn ( https://bit.ly/2TORgSb )"
3223774058,Product Data Analyst,Challengermode >> Meet us @GamesCom 2022,https://www.linkedin.com/company/challengermode/life/,Hybrid,2 days ago,,Full-time,Mid-Senior level,11-50,Computer Games,,,"About the job Does it really bother you when people mistake correlation for causality? Are you passionate about experimentation, with an insatiable appetite for learning, and curiosity to figure out the how and the why? Check this opening out 👀  Challengermode was founded in 2014 with the mission to make esports truly accessible. Today, we're running a platform that provides the fundamental online esports infrastructure to all the key stakeholders in the industry including players, organizers, and game developers."
3223917392,Analytics Engineer - Forecasting & Data,Spotify,https://www.linkedin.com/company/spotify/life/,,2 days ago,,Full-time,Entry level,"5,001-10,000",Musicians,3,school alumni,"About the job We are looking for an engineer with backend experience interested in quantitative modelling. You will be part of a small but growing team of data scientists and analytics engineers that specialise in the development of forecasting models and datasets to support the understanding of the Spotify Freemium business. As part of the job, you will drive the architecture of the forecast service to enable data scientists across the company to leverage our models and insights. This is an impactful role where you will be a key person influencing the direction of the technical architecture and roadmap of the team, which currently uses a combination of BigQuery, Scio (a Scala API for Apache Beam) and Python running on Google Cloud Platform.  What You'll Do   Who You Are   Where You'll Be   Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.  Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.    Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols."
3181830993,Data Analyst,Sinch,https://www.linkedin.com/company/sinch/life/,,1 week ago,,Full-time,,,,,,"About the job We are Sinch. With presence in more than 55 countries, we're a growing global organization that helps amazing companies engage with customers on their mobile phones. And whether you know us or not, you've definitely used our tech. We reach every phone on earth, with over 147 billion conversations every year.  This is a chance for you to dream even bigger than ever. And because we believe that equal opportunities are the key to our success, no matter who you are, you'll be able to explore career options, face fascinating challenges, building your skills alongside amazing experts. It's not easy to reach every person, on every phone, on every channel, everywhere. Create the software that makes it happen. Join our team as a Senior Data Analyst based in either Stockholm or Malmö!  Bring your solid understanding of data visualization, preparation & analytics together with your tech knowledge and natural curiosity into play in this new role and be part of a pioneering data and analytics team bringing data, visualization and business insights to life in our commercial areas!  The department's key focus is to deliver timely insights through data from across the Sinch business, helping shape decision-making both for operational optimisation purposes and tactical or even strategical decision recommendations. The key partners of this role will be multifunctional in areas such as Marketing, Finance, Operations, Sales and Product.  This role will help both enrich our current data landscape and bring new data variables to life, but also enable important data development projects around the business to use data that will both increase accuracy in the models and speed up insights to action.          We're a worldwide group of people, committed to diversity. We're working to offer an increasingly inclusive workplace wherever you are. No matter who you are, you'll be able to explore new career and growth options - sharing your voice, building your path and making it happen with us.  We're proud to be an equal opportunity employer, and all qualified applicants will be considered to join our team regardless of race, color, religion, gender identity or expression, sexual orientation, pregnancy, disability, age, veteran status, and more.    Being a Sincher is all about learning and being in pursuit of new challenges. Working in the offices, at home, or in a hybrid model, that means celebrating change and the unknown, rolling up your sleeves and seeing what impact you can have on the world. The only way is up, and you'll be reaching for the opportunities that match where you want to take your career. It's closer than you think."
3190008503,Senior Data Analyst,TUI,https://www.linkedin.com/company/tuigroup/life/,Hybrid,2 days ago,,Full-time,Associate,"10,001+",Travel Arrangements,6,school alumni,"About the job TUI is well on its way to transforming our marketing to be highly relevant to each individual customer, driven by what we understand about their history and reacting to the events and behaviours of each customer.  Now is the perfect time to join the team as we embark on the next phase of our journey. We are moving to customer journeys, campaigns and activities that are highly personalised and automated by data and analytics in real-time.  Working within the Marketing Platform team you will operate as Senior Data Analyst to enable direct marketing through best practice data management and profiling techniques. You will provide key insights to inform our strategy for customer data capture and management for CRM marketing activity to ensure we maintain a consistent high level of data quality and grow the size of our contactable customer base.  At TUI, we never stop looking ahead, seeking new ways to delight our customers and grow our business. We recognise the power of digital and the massive contribution this brings to creating a truly unique and differentiated customer experience.             We want to be the best-loved holiday company not only for our customers, but for our colleagues too. That’s why we offer a variety of benefits that go above and beyond a competitive salary, so we can help you to live your best life happily at TUI. Click here to find out more.  We love to see your uniqueness shine through and inspire the future of travel. If you would like to read more about what Diversity & Inclusion means to us simply visit Our DNA  If you require any further information regarding this opportunity, please email careers@tui.co.uk  We really value your interest in TUI and will be back in touch with you shortly after the application closing date."
3224149011,Data Analyst till Lendo,Lendo AB,https://www.linkedin.com/company/lendo-ab/life/,Hybrid,1 day ago,,Full-time,,,,,,"About the job Vill du vidareutveckla din analyskompetens i nära samarbete med alla delar i Lendos organisation samtidigt som du får stor möjlighet att påverka och bidra till vår affär? Kom och bli vår nya kollega i rollen som Data Analyst i vårt strategiteam! Vi söker dig med analytisk förmåga, kommunikativa färdigheter, affärsförståelse och en vilja att dela insikter och sprida kunskap i organisationen. Sök tjänsten idag och bli en del av vår expansionsresa!  Vi har identifierat ett behov av att stärka vår förmåga inom dataanalys då vi ser att det har stora möjligheter att tillämpas och användas i flera olika delar av vår affär. Vi söker dig som vill vara med på den resan och har erfarenhet av att ha besvarat affärsmässiga utmaningar genom att fördjupa dig i stora mängder data samt att du på ett begripligt sätt kunnat förklara dessa till övriga delar av en verksamhet och har erfarenhet av att ha visualiserat dessa med hjälp av visualiseringsverktyg. Utöver detta är det meriterande att ha arbetat med prediktiv modellering och textanalys. På Lendo har vi mycket data som vi vill att du tar ett grepp om och agerar på tillsammans med olika avdelningar för att ytterligare utveckla Lendos produkt och affär. I rollen som Data Analyst har du flera kontaktytor och kommer att arbeta med kollegor inom områden som Data & Machine Learning, BI, Marknad, Produkt och Partnerskap, CRM och Kundservice. Du kommer att arbeta med såväl utmaningar kopplat till affären idag samt ingå i projektgrupper som arbetar tvärfunktionellt med större strategiska förändringar och initiativ. Din huvudsakliga uppgift är att ta fram agerbara insikter som skapar affärsvärde. Vidare kommer du också att delta i arbetet för strategiavdelningens fortsatta utveckling inom Lendo.  För att lyckas i rollen ser vi att du har en akademisk examen, gärna med inriktning mot statistik, ekonomi eller likvärdig ingenjörsutbildning. Vi söker dig med något eller ett par års erfarenhet av att jobba med dataanalys, med fördel inom branscher med stora datamängder och/eller kundbaser. Du är van att arbeta i SQL och har erfarenhet av exempelvis Python, R eller liknande verktyg och har mycket goda kunskaper inom Excel och Powerpoint. Vi ser att du är affärsmässig, analytiskt lagd och har god kommunikationsförmåga i skrift och tal. Som person lägger vi stor vikt vid att du är nyfiken, engagerad och driven. Du gillar fria ramar och ser inga problem med att självständigt sätta din struktur och ditt tillvägagångssätt. Genom ditt analytiska och strukturerade arbetssätt kan du växla mellan det övergripande strategiska perspektivet och detaljer i leveransen av dina analyser.  Lendo har under flera år byggt upp en stark position på den svenska fintechmarknaden och är idag Sveriges största jämförelsetjänst för lån. Lendo är en del av Schibstedkoncernen, vilket gör att vi kan kombinera snabbheten i ett mindre bolag med tryggheten och styrkan i en större koncern. Vår kultur kännetecknas av laganda, kund- och leveransfokus samt en vilja att ständigt förbättra oss själva och vår verksamhet. Strategiteamet består idag av tre engagerade individer med erfarenhet inom strategi, affärsutveckling och analys. Vi arbetar brett med samtliga delar i vår affär och har stor möjlighet att påverka vår framtida färdriktning som bolag. Det gör att vi får stora samarbetsytor inom Lendo som både är stimulerande och utmanande för oss. Vi tar enbart emot ansökningar via denna annons. Urval och intervjuer kommer pågå löpande och tillsättning av tjänsten kan därför komma att ske innan sista ansökningsdag. Vi kommer att skicka ut en enkät via TrustCruit där vi mäter kandidatupplevelsen av rekryteringsprocessen - svara gärna på den! Har du frågor kring rollen är du välkommen att höra av dig till rekryterande chef Philip Hellqvist på philip.hellqvist@schibsted.com Varmt välkommen med din ansökan!"
3223679858,Online Data Analyst,TELUS International,https://www.linkedin.com/company/telus-international/life/,Remote,3 days ago,,Contract,Entry level,"10,001+",IT Services and IT Consulting,1,school alumni,"About the job TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com"
3203698839,(Senior) Data Analyst - Growth,TIER Mobility,https://www.linkedin.com/company/tiermobility/life/,Remote,3 weeks ago,,Full-time,Associate,"501-1,000","Technology, Information and Internet",,,"About the job THIS IS US  TIER Mobility is Europe's leading shared micro-mobility provider, with a mission to Change Mobility for Good. By providing people with a range of shared, light electric vehicles, from e-scooters to e-bikes and e-mopeds, powered by a proprietary Energy Network, TIER helps cities reduce their dependence on cars. Founded in 2018 by Lawrence Leuschner, Matthias Laug and Julian Blessin.  TIER is headquartered in Berlin and currently operates in 190+ cities across 20 countries in Europe and the Middle East. With a focus on providing the safest, most equitable and most sustainable mobility solution, TIER has been climate neutral since 2020.    Thanks to our remote work policy, you can decide, whether you’d like to work from Hungary, Greece, Poland, Spain or Germany.    We are a diverse team of Data Engineers, Analytics Engineers, Data Analysts and Data Scientists helping TIER advance in all things data. We are from 10 different nations and like to geek out on different data stacks and technologies. We strive to build great data infrastructure and enable teams across TIER to take data-informed decisions        We actively encourage a diverse and inclusive environment that fosters each employee’s individuality at TIER. We take affirmative action to ensure equal opportunity for your application, regardless to your nationality, ethnic or national origin, skin colour, religion, disability, sex, sexual orientation or gender identity. Come as you are and join our ride!  In case you are living with disabilities, chronic illness or neurodiversity please inform us, to provide you with the proper assistance in the application process.  If we could spark your interest and you want to change mobility for good with us, apply now and let us know why you’re the one for the job! We encourage everyone to apply and grow with us. Even if you may not tick all the boxes of the requirements, we are happy to hear about the value you can add to the team. We are all learners!"
3203099976,Data Analyst - Marketing,TUI,https://www.linkedin.com/company/tuigroup/life/,Hybrid,2 weeks ago,,Full-time,Associate,"10,001+",Travel Arrangements,6,school alumni,"About the job Working as part of a global team of analysts and data experts across TUI, the Data Analyst within our Marketing, Sales and Service (MSS) Business Intelligence team will be accountable for the design and development of the analytical solutions using a variety of technologies, and techniques, and working alongside IT, business and other data science colleagues. You will be deriving and maintaining the data requirements needed in transformation from source-market specific reporting to group reporting and be an evangelist for data management best-practices.  As a Data Analyst, you have a fantastic opportunity to shape our new reporting landscape within Marketing Sales and Service and work closely with experts across source markets and group to drive alignment between local and global reporting and a common business understanding of the data. You will need excellent communication and influencing skills to bring multiple and varied stakeholders together, as well as project management skills to handle dependencies and drive a timely delivery of data in line with the project roadmap.                       We want to be the best-loved holiday company not only for our customers, but for our colleagues too. That’s why we offer a variety of benefits that go above and beyond a competitive salary, so we can help you to live your best life happily at TUI. Click here to find out more.  We love to see your uniqueness shine through and inspire the future of travel. If you would like to read more about what Diversity & Inclusion means to us simply visit Our DNA  If you require any further information regarding this opportunity, please email careers@tui.co.uk  We really value your interest in TUI and will be back in touch with you shortly after the application closing date."
3166717291,Senior Data Analyst,Rovio Entertainment Corporation,https://www.linkedin.com/company/rovio/life/,,1 week ago,,Full-time,,,,,,"About the job Rovio's Stockholm Studio is the studio behind the hugely popular Angry Birds 2, the bigger, badder and birdier sequel to the global phenomenon Angry Birds. The studio is dedicated to making the Angry Birds 2 game experience ever more exciting for players, developing continual improvements, as well as running world class live ops every day.  In addition to Angry Birds 2, Stockholm studio is actively developing new titles with the Angry Birds brand as well as new original IPs. Our approach is to focus on highly accessible yet innovative cores paired with Rovio's light-hearted aesthetic. At the same time, we still aim to deliver a deep meta that can keep players engaged for decades. Our development is driven by our players as we push to become masters of our genre. We use data to provide insights into our players' needs, and we always strive for improvement through continual iteration.  Our ambitious teams are full of passionate gamers who are eager to leave their mark.  Coming into this role, you will build an understanding of the game and different business levers and use that knowledge to build new game features, optimising existing ones, structure vague problem statements in collaboration with stakeholders such as product manager, designers, producers.  You will bring an objective perspective to all phases of decision making by leveraging strong technical skills to mine raw data for valuable information. Finally, we hope that you are a curious team player who is motivated and wants to have fun with data because at the end of the day we are a casual gaming studio, where we strive to have an environment that is fun and enjoyable while at the same time enables you to grow professionally.      Data is at the heart of everything we do at Rovio. It enables us to continually improve our games and provide incredible experiences for the millions of users who play our games every day. All of this data is only valuable if it can be used to guide our day to day operations. It is the job of Rovio data craft to turn that raw data into actionable insights for Rovio’s games teams and other business units. The data craft aims to empower Rovio’s teams with insightful data, and also with relevant tools and models that support decision making."
